"","X1","X2","X3","word","col","term_count","doc_count","count","avg_sentiment","sum_sentiment","sd_sentiment"
"1",-8.01737934161925,-3.29981125977764,-2.97004044922648,"together","#FF00FBFF",20,20,22,0.089085888131329,1.95988953888924,0.162130681279907
"3",-2.01672122679715,-3.58806471781684,2.18500116121018,"star","#FF00F7FF",20,20,22,0.14536417942387,3.19801194732514,0.199029058774379
"4",2.77702122188157,8.84680902573528,-1.63436038193036,"full","#FF00F2FF",20,20,21,0.244945215979814,5.1438495355761,0.242765451288751
"5",-7.92848238480353,-2.62847686495712,-2.34506293762716,"stan","#FF00EDFF",20,20,21,0.114014436381617,2.39430316401397,0.244330969414785
"6",2.71011672512381,4.26890890467099,1.91970307401882,"need","#FF00E9FF",21,20,22,0.0838046758180748,1.84370286799764,0.12371299338991
"7",-5.11601829105705,6.45254270585845,1.57304409510625,"though","#FF00E7FF",21,20,26,0.141756167567793,3.68566035676262,0.192981687305641
"8",-4.44725307182997,0.133822906903642,-5.12823747710852,"real","#FF00E6FF",21,20,22,0.144636238461295,3.18199724614849,0.352569798964047
"9",-8.13365363533343,-9.78216997408412,-1.75098806491482,"someone","#FF00E4FF",21,21,21,0.0576818623983956,1.21131911036631,0.185389748268397
"10",-5.94181374142944,5.74783105555133,10.1042270932941,"expect","#FF00E3FF",21,20,22,0.174346558374195,3.83562428423229,0.210933669150419
"12",-4.62525319365961,3.66792960800235,-6.4257920508653,"found","#FF00E1FF",21,20,21,0.11616379327974,2.43943965887453,0.218931059190883
"13",-8.33584316704448,-2.65495871754252,-2.14106731413281,"keep","#FF00E0FF",21,20,21,0.133553173767552,2.80461664911858,0.135839072633057
"14",-4.15139964261649,4.76372074212669,-10.7026930738096,"start","#FF00DFFF",21,21,22,0.158068733040495,3.4775121268909,0.209082985239095
"15",-7.46040467112413,2.67781327965875,4.39703407699853,"takes","#FF00DBFF",22,20,22,0.0898399535269248,1.97647897759235,0.139604687467385
"16",0.646720863967029,-10.5840839194556,1.014622375704,"venoms","#FF00D9FF",22,20,4,0.196372159999155,0.78548863999662,0.188488787344902
"17",-7.49020313580547,-2.24454877890515,0.586920510849474,"script","#FF00D6FF",22,22,24,-0.0470827458782079,-1.12998590107699,0.255915954211267
"18",0.654519008952482,8.56935983275575,-1.77069617556499,"antihero","#FF00D5FF",22,21,8,0.268636762852762,2.1490941028221,0.384431296096733
"19",-6.90158023955572,5.06503879328461,2.60952786149676,"absolutely","#FF00D3FF",22,21,23,0.249014249904094,5.72732774779416,0.256734189952443
"20",-5.59227160847596,-2.40519653497606,2.73607810897235,"sequel","#FF00D2FF",22,21,52,0.225274564395558,11.714277348569,0.257088262710875
"21",-5.34662611460162,2.82344229735499,9.9454468889656,"bought","#FF00D1FF",22,20,22,0.180979879190227,3.98155734218499,0.143029292248256
"22",-2.84150191729791,-6.77373111223388,0.0587659435256338,"low","#FF00CFFF",22,22,23,0.14252042630479,3.27796980501017,0.239541595442525
"23",-3.99038701447198,2.54773894802375,-10.3851844226796,"completely","#FF00CDFF",22,20,22,0.116082111207764,2.55380644657082,0.151574424806421
"24",0.474025833860758,3.15739816690121,2.84040996413163,"far","#FF00CCFF",23,23,25,0.160164363252257,4.00410908130643,0.222640881827356
"25",-5.89647763399848,-0.098466466242133,3.18873071483777,"michelle","#FF00CBFF",23,23,23,0.10897215671218,2.50635960438015,0.140326029867211
"26",-9.74721423440046,-9.55440364314069,2.02268311753825,"dialogue","#FF00CAFF",23,20,24,0.0526019857660537,1.26244765838529,0.172933244844026
"28",-10.2472651332374,-6.09915247105415,3.59712473772576,"role","#FF00C8FF",23,23,26,0.204465999134617,5.31611597750003,0.272759832264235
"29",1.83163529500112,-6.03205974487716,2.46418618685027,"anything","#FF00C7FF",23,23,24,0.134260021944611,3.22224052667067,0.185772216278733
"30",-6.06737166359631,-0.272300036286933,0.663380650558,"deadpool","#FF00C6FF",23,22,27,0.15628962767896,4.21981994733192,0.178490837464978
"31",-11.8015126338822,-1.43335606663763,1.01913997876268,"packed","#FF00C5FF",23,23,31,0.283566329158004,8.79055620389812,0.165912140240427
"33",-12.0132294850168,1.11214825885954,7.2081164956008,"okay","#FF00C3FF",23,21,26,0.0403365172034147,1.04874944728878,0.168945349918124
"35",-0.408125330450911,-0.137247968066741,-3.14083216887161,"interesting","#FF00C1FF",23,20,24,0.201183586286797,4.82840607088312,0.310089590877346
"36",-13.8506928082962,6.23562468584434,1.99591378549079,"understand","#FF00C0FF",24,21,25,0.161842036876481,4.04605092191202,0.144730733946301
"37",-4.15919011928926,1.80112478834635,2.80915235857365,"main","#FF00BFFF",24,22,24,0.0721542365010837,1.73170167602601,0.181064440441273
"39",-1.92089961615456,4.07877867225429,-1.28315390987869,"sony","#FF00BCFF",24,20,25,0.139849267330806,3.49623168327014,0.102343969139076
"40",-7.53357958407984,-5.3825457618773,5.95863504804674,"version","#FF00BBFF",25,22,25,0.134816481784015,3.37041204460038,0.204835764451604
"41",1.44227332048213,1.20898941546291,9.66103403245212,"sure","#FF00BAFF",25,24,25,0.144703407666581,3.61758519166454,0.176697917885655
"42",-6.9155539105282,4.06811732107917,1.85089823701391,"maybe","#FF00BAFF",25,23,25,0.0897381546469529,2.24345386617382,0.207786759207678
"43",-5.84663934764393,7.42396881933654,1.70258480740327,"reason","#FF00B9FF",25,21,25,0.0831890768919529,2.07972692229882,0.193449022215401
"44",-1.46265735737496,6.11878190697629,1.59058353526633,"cast","#FF00B8FF",25,24,25,0.190387418929455,4.75968547323637,0.275646962286714
"45",-4.51802575997393,6.09620202896354,-2.6339903003626,"comedy","#FF00B7FF",25,25,36,0.289021342246843,10.4047683208863,0.340537469445682
"46",1.13654937769994,5.08368922002807,-12.5409490385634,"family","#FF00B6FF",25,25,27,0.317425672287032,8.57049315174987,0.234200220149707
"47",-4.95498964751772,1.27410003477179,-2.28309441346031,"actors","#FF00B5FF",25,25,25,0.14665475491688,3.666368872922,0.176475605341896
"48",-8.03129060500448,-6.5112393942395,-0.757954341107169,"theres","#FF00B4FF",25,23,2,-0.165903679300155,-0.331807358600311,0.0864304487059295
"50",-4.42378317986757,-1.70603638466774,1.78917911569767,"instead","#FF00B2FF",25,21,29,0.0302409381325334,0.876987205843469,0.224737666568307
"51",-7.05027648938114,3.78315024958975,2.52563981430881,"however","#FF00B1FF",25,23,25,0.0546383848410472,1.36595962102618,0.247642159388018
"52",-5.23852155089497,2.80549790711299,7.42036478733221,"almost","#FF00B0FF",26,21,26,0.0805229280723968,2.09359612988232,0.236058893002163
"53",9.64283818575643,0.346559692225097,0.220982773434604,"moments","#FF00AFFF",26,24,27,0.123290807408795,3.32885180003746,0.227219454824465
"54",-12.3422371145349,-3.97445535884956,0.900782470767063,"quality","#FF00AEFF",26,25,32,0.494933438407137,15.8378700290284,0.577659018302877
"55",-5.52065488476436,8.87301210885783,6.11461153224179,"thing","#FF00AEFF",26,23,27,0.15982909958274,4.31538568873397,0.256040970210629
"56",-9.47594396654062,-5.35751536126505,-2.54087830004646,"waste","#FF00ADFF",26,25,26,-0.0267072788287279,-0.694389249546926,0.226286906548944
"58",-5.00752251348149,6.59965394797647,1.2654733482284,"felt","#FF00ABFF",26,24,26,0.126351048127628,3.28512725131833,0.183128141760285
"59",-2.62801520216995,3.11722304744078,-2.95956734725651,"look","#FF00AAFF",26,24,27,0.125349107193366,3.38442589422088,0.261430939241088
"60",-8.85746038283091,-0.390584115407028,1.59731344198645,"ok","#FF00A9FF",27,26,48,0.0306563583266538,1.47150519967938,0.134019804365799
"61",-8.52346076423702,7.92396840358929,-0.776193899866148,"went","#FF00A8FF",27,24,27,0.152530122524054,4.11831330814946,0.206017134146875
"62",-5.37725352327992,-0.112712231861382,-5.11212160548194,"looks","#FF00A7FF",27,23,27,0.0143043586983742,0.386217684856103,0.222819846887678
"63",-3.02029593990699,-0.185503459568556,2.74842961894448,"money","#FF00A6FF",27,26,33,0.0168978805417715,0.557630057878459,0.284211855982243
"64",-3.789276042999,8.05711437517215,0.787516674717142,"without","#FF00A5FF",27,27,27,0.129394419391409,3.49364932356804,0.217476590932716
"65",-5.82721768976636,0.242449895385829,2.87465621375312,"williams","#FF00A4FF",27,24,27,0.100241976885912,2.70653337591963,0.136219299162746
"66",-6.11953886969058,3.46837498636762,-9.64555022369093,"stars","#FF00A3FF",27,22,36,0.0929480683320658,3.34613045995437,0.213076316193685
"67",-7.55114803928099,-2.22962165151033,-2.07814829928449,"nice","#FF00A2FF",27,25,29,0.301773209858498,8.75142308589643,0.180920603150974
"68",2.97119836072212,1.95898952119752,-11.9003562737684,"come","#FF00A1FF",27,25,27,0.0805230985622912,2.17412366118186,0.172269688032846
"69",-10.1122044772257,5.31012792769906,4.92028235824723,"seeing","#FF00A1FF",28,28,31,0.213438851752017,6.61660440431251,0.376846352455409
"70",-8.65700071209956,-2.7630459222482,0.799513868323323,"read","#FF00A0FF",28,27,28,0.155903889026244,4.36530889273482,0.178993578349411
"71",-3.61038395873694,-1.84437077789881,-0.00502417527671686,"two","#FF009FFF",28,24,34,0.129569529422574,4.40536400036752,0.252160334209961
"72",-10.4255181965201,1.99775282776179,5.52428405580121,"came","#FF009EFF",28,27,28,0.156968235508262,4.39511059423133,0.24589501689905
"73",-6.68100618991684,8.55147976654121,-2.77020941526079,"forward","#FF009DFF",28,27,28,0.3375989922109,9.45277178190519,0.234300312254226
"74",-14.9344003609772,1.84925539554334,-0.121762659010692,"excellent","#FF009CFF",28,26,32,0.521096581575252,16.6750906104081,0.311634018947936
"75",10.5418561188944,3.42333529982577,6.88366821320156,"glad","#FF009BFF",28,28,28,0.214247171584995,5.99892080437987,0.245522679889756
"76",-12.4180436187431,-3.99225797006115,1.18096499263431,"decent","#FF009AFF",28,24,31,0.247508495298246,7.67276335424563,0.262816941166418
"77",-7.41777503136488,2.76143431020699,-3.03951899607486,"said","#FF0099FF",28,24,31,0.13210465729258,4.09524437606997,0.160956334559605
"78",-7.47499091283343,2.53780679456699,0.982314815313991,"feel","#FF0098FF",28,25,28,0.117020799656485,3.27658239038158,0.178459046152748
"79",-11.8288772347271,-0.93223127672667,0.619819260013323,"fantastic","#FF0097FF",28,27,35,0.384445196940196,13.4555818929069,0.283913991306068
"80",-5.92288694189528,5.8560633370558,5.3815296024004,"next","#FF0096FF",28,27,28,0.172492217756283,4.82978209717591,0.181604148269433
"81",3.26196458532037,-6.9613028794471,11.9422839601079,"surprised","#FF0095FF",29,29,29,0.246005816205507,7.13416866995969,0.234894314944875
"82",-5.67883550824822,3.27065177778599,-9.38554772184958,"expecting","#FF0094FF",29,29,31,0.18979679503565,5.88370064610516,0.243022819105898
"83",-10.8072249219365,-1.65382806481076,-4.00677733211401,"storyline","#FF0094FF",29,27,31,0.190863669004319,5.9167737391339,0.307915498667942
"85",-5.43764618652548,0.86426066842402,-5.47450410539631,"kids","#FF0092FF",29,26,30,0.216799572650411,6.50398717951232,0.268632799601719
"86",-6.62938008440087,-0.558666299713337,2.18883019589768,"perfect","#FF0091FF",30,30,33,0.373320870623491,12.3195887305752,0.231907917129329
"87",1.48263843868759,-2.45607551556223,-10.9955124716696,"makes","#FF0090FF",30,21,30,0.167730049116123,5.0319014734837,0.170049835094274
"88",-6.9664800589573,1.88361509511551,-7.58145841523468,"slow","#FF008FFF",30,28,34,0.187019266538759,6.35865506231782,0.203321882317851
"89",-2.39089199674938,4.40432758359646,-0.651569802089164,"every","#FF008EFF",30,28,31,0.164730003308662,5.10663010256852,0.292813119612345
"90",-6.26259978432,4.44560470865629,-1.26658649343077,"give","#FF008DFF",30,29,30,0.119219822492567,3.57659467477702,0.238368849968393
"91",-9.88556379419481,7.28490033672505,-1.33448591372912,"wish","#FF008CFF",31,31,31,0.123267616724757,3.82129611846748,0.331772210392884
"92",-2.54990950007915,1.29631795570133,4.01365681721648,"minutes","#FF008BFF",31,20,33,0.138097809002421,4.5572276970799,0.172945134790336
"93",-8.24552776625267,7.84966732673972,5.38301795112152,"enjoy","#FF008AFF",31,30,38,0.267737692714859,10.1740323231646,0.281015322505373
"94",-7.9316958582598,5.77514306223469,-5.22256087710903,"seen","#FF0089FF",31,28,32,0.167440817531626,5.35810616101203,0.240993394892161
"95",-2.44864473100834,5.01287350521423,-8.75926872455987,"looking","#FF0088FF",32,30,34,0.266090932163761,9.04709169356788,0.247327864120666
"96",-10.7805034950671,0.118638226594058,0.976629738472321,"terrible","#FF0087FF",32,30,38,-0.218492352274233,-8.30270938642087,0.301557498446318
"97",-7.95805331292283,3.39958581027724,-1.053657471814,"universe","#FF0087FF",32,28,34,0.104686634282234,3.55934556559597,0.177632091190228
"98",-7.40413422553745,0.829404934343211,2.66607533408043,"everything","#FF0086FF",32,30,34,0.140913121545769,4.79104613255616,0.148053889350352
"99",-9.25548735061049,6.58606978224206,1.49406274370167,"wanted","#FF0085FF",32,30,32,0.0446171209493846,1.42774787038031,0.188118820670897
"100",-3.82334900661607,5.23247540558786,-4.02927238106624,"films","#FF0084FF",32,26,34,0.148129951219693,5.03641834146957,0.243582394884258
"102",-8.25407591541298,1.26280787991984,-4.86353667189317,"superhero","#FF0082FF",33,30,38,0.134462776269894,5.10958549825597,0.273211381686467
"103",-12.4560995836392,6.05545999774961,-2.73425513405759,"saw","#FF0081FF",33,29,33,0.188609410372363,6.22411054228798,0.171850135634926
"104",-6.1358952010763,5.49606008919684,-3.77170698588933,"3","#FF0080FF",33,33,43,0.184353890735102,7.92721730160939,0.331376007767983
"105",-6.21366719689114,5.74459115048517,-3.00991101772529,"villain","#FF007FFF",33,28,36,0.0905738429724268,3.26065834700736,0.201069784008834
"106",-3.86145822553508,4.36696320759575,0.126587210588049,"2","#FF007EFF",33,30,53,0.118716799582677,6.29199037788186,0.291169078065099
"108",-6.90749290866861,-5.98503624012864,-0.90156405803367,"hes","#FF007CFF",34,21,2,0.168869175242728,0.337738350485456,0
"109",-0.292103604701641,-8.2427776184672,-3.19572717170375,"always","#FF007BFF",34,34,34,0.173015774831126,5.88253634425827,0.233873428150998
"110",-4.97062214080205,3.31513693360726,2.97302352771993,"isnt","#FF007AFF",34,25,3,0.263108116894151,0.789324350682454,0.303127744431676
"111",-4.77944981432766,10.2141061974848,2.82292225006722,"long","#FF007AFF",34,32,34,0.16403380133797,5.57714924549099,0.138459474107489
"112",-9.7096402915147,4.78956959622575,-2.53569740208622,"ever","#FF0079FF",34,31,37,0.0722493998534538,2.67322779457779,0.235324064079817
"113",-4.74321440338445,2.88538097909107,-10.140586553704,"enough","#FF0078FF",34,32,35,0.0802703933165859,2.80946376608051,0.258859902572852
"114",8.06999774796733,1.57101714820947,-6.83028496382418,"favorite","#FF0077FF",34,32,37,0.270481568738114,10.0078180433102,0.247759676579377
"115",-9.65821825979812,1.07611635059356,4.6687831456318,"cool","#FF0076FF",35,34,42,0.323231502844053,13.5757231194502,0.314091636803882
"116",-7.69626932944514,1.13017635375631,-5.56812723737777,"ive","#FF0075FF",35,32,2,0.177631235066759,0.355262470133519,0.0123914238374698
"117",-8.16849243093599,0.54286134074216,-0.872546111801674,"since","#FF0074FF",36,33,36,0.0986659007656576,3.55197242756367,0.226023845556581
"119",-9.17154030232431,-5.1756114030962,-2.48722742906144,"different","#FF0072FF",36,32,38,0.231773986349369,8.80741148127604,0.214846124042045
"120",-2.47005421462119,0.520075907847992,-0.432601789427541,"things","#FF0071FF",36,30,36,0.0833831514496293,3.00179345218665,0.204320026386657
"121",-7.98752610229934,3.73547661709005,4.36740036983925,"whole","#FF0070FF",37,35,37,0.132295335013649,4.89492739550501,0.253661790194903
"122",-2.25715502095094,1.83100731987385,6.18312056302715,"another","#FF006FFF",37,36,39,0.167786898349232,6.54368903562004,0.22877529645154
"123",-7.35616645851133,4.66357977038537,-0.193671353584413,"definitely","#FF006EFF",38,38,39,0.219585692602992,8.5638420115167,0.182014139017549
"124",-7.16423223148596,4.58218352913613,1.19970749354793,"now","#FF006DFF",38,35,44,0.155799456830494,6.85517610054175,0.30644060932545
"125",-13.0881034593005,-1.47073987067753,0.339945168722768,"lots","#FF006DFF",38,36,37,0.310054666756537,11.4720226699919,0.228298504577497
