"","X1","X2","X3","word","col","term_count","doc_count","count","avg_sentiment","sum_sentiment","sd_sentiment"
"127",-8.76735078439208,1.10512443473876,-2.19824981261794,"end","#FF006BFF",39,34,45,0.0830905334019293,3.73907400308682,0.245778771861937
"128",-2.8881037994011,-6.05631263802493,-4.10365498850368,"special","#FF006AFF",39,34,39,0.232743130731969,9.0769820985468,0.275099176823845
"129",-11.6193483189655,-5.06937582437438,-4.50946232909013,"big","#FF0069FF",40,39,41,0.188992283689938,7.74868363128746,0.264322454742193
"130",-9.5360692707105,3.25499038545841,2.10066482308155,"buy","#FF0068FF",40,35,44,0.18225668006606,8.01929392290662,0.194197985727921
"131",-7.91608397100999,1.29272162556972,-0.761311105255243,"overall","#FF0067FF",41,40,43,0.216358408218613,9.30341155340035,0.238389535878717
"132",-6.51025578722206,-5.83842738053535,-2.51582986511668,"kind","#FF0066FF",41,39,41,0.148363304364449,6.08289547894242,0.249954375540227
"133",-6.5377094624247,4.09142427581468,1.65619434738935,"dark","#FF0065FF",41,36,43,0.113219829550989,4.86845267069251,0.262275473044613
"134",-6.81189582281401,-0.592227902688642,-5.04376189740496,"guy","#FF0064FF",41,31,45,0.13107605609495,5.89842252427274,0.240534894726478
"135",-12.0506141247009,6.57628451249022,-2.02205134220671,"hope","#FF0063FF",41,39,41,0.218583011547966,8.9619034734666,0.261811814143564
"136",-11.7632262331631,1.15369105756661,-5.41367790065588,"line","#FF0062FF",41,39,47,0.199163283285403,9.36067431441392,0.293942374839969
"137",-4.52249085626341,1.31732373192674,-2.01353275027215,"man","#FF0061FF",42,33,106,0.142490500681521,15.1039930722412,0.182974468165826
"138",-4.825724194258,1.83422918325093,0.272715622637346,"back","#FF0060FF",42,40,43,0.124297763520368,5.34480383137585,0.168934189200049
"139",-12.0298206923599,-5.41097155227071,-0.353847830930223,"job","#FF0060FF",43,37,47,0.219538372542405,10.318303509493,0.186822924542135
"140",-13.8385510548439,1.95569806580976,-2.26261071435,"actor","#FF005FFF",43,40,48,0.151790884942258,7.28596247722836,0.223526754804968
"141",-3.45887094885193,-2.01617501456915,-4.14031543597792,"new","#FF005EFF",43,35,44,0.248897456517825,10.9514880867843,0.278718251775438
"142",-9.79301669095187,4.35100794432481,1.28529105437203,"take","#FF005DFF",43,39,43,0.087631769167871,3.76816607421845,0.244769464515703
"143",-9.73634611032573,-1.44003604542819,-0.807690850575509,"something","#FF005CFF",44,36,46,0.11229225884143,5.1654439067058,0.183252527889307
"144",-8.9050651711614,4.39892461673991,0.32223082696389,"got","#FF005BFF",44,41,44,0.142516719851158,6.27073567345095,0.217870890306349
"145",-9.62290212158894,-1.28386308168556,3.63008420325533,"nothing","#FF005AFF",45,41,45,0.0427439612972372,1.92347825837567,0.169587895326807
"146",-5.63077944073943,-3.27330719404021,0.24806706696026,"right","#FF0059FF",45,41,50,0.178044457253134,8.90222286265672,0.276560369675492
"147",-10.9901453786232,4.54744725442872,1.32668092787808,"want","#FF0058FF",45,41,45,0.102298366962063,4.60342651329284,0.192633868270472
"148",-3.20096786523673,2.36935325079958,0.330678224582504,"done","#FF0057FF",45,39,52,0.202971906192595,10.5545391220149,0.248478145582144
"149",-11.8200664548099,4.66983258391549,2.60411499820794,"go","#FF0056FF",45,42,47,0.11749501469557,5.5222656906918,0.229842458143594
"150",-12.6668157729731,3.59793919135308,1.01344003030943,"expected","#FF0055FF",46,45,60,0.240808234089511,14.4484940453706,0.315089225074025
"151",-6.52976328264601,4.43509225871497,1.44939363767165,"times","#FF0054FF",46,40,55,0.157701805567759,8.67359930622672,0.204454066845506
"152",0.271164499694291,-11.9398638957898,0.990781061355957,"amazing","#FF0054FF",47,46,57,0.287854945459083,16.4077318911677,0.198716396138845
"153",-12.4916254356643,-0.94068598612312,-2.62251784089318,"cgi","#FF0053FF",47,42,50,0.0963770847802463,4.81885423901231,0.237312026617353
"154",-11.3429487270405,1.39640516705817,-4.81780867513272,"book","#FF0052FF",48,42,52,0.112945706427655,5.87317673423807,0.258096995376275
"155",-5.41804121939285,2.76925874139265,-2.88296136881966,"scenes","#FF0051FF",49,45,53,0.185780330175925,9.84635749932405,0.227976533574407
"156",-9.90543166889072,-0.858186082655407,-0.961901628502556,"life","#FF0050FF",50,27,53,0.0719810388912434,3.8149950612359,0.145855532463367
"157",-5.94309961149041,2.07922948071045,-5.11051712740984,"part","#FF004FFF",50,45,54,0.128219365286475,6.92384572546967,0.218348677844785
"158",-9.20381355507573,4.42672958647959,-1.20035102184438,"never","#FF004EFF",50,46,51,0.122061379821896,6.22513037091667,0.20939351722264
"159",-8.56344973644108,1.27355344748721,-4.58944306919552,"hero","#FF004DFF",50,42,73,0.238696896875652,17.4248734719226,0.264221572626684
"160",-8.22187180209095,1.14951205282545,1.0015552550881,"also","#FF004CFF",51,41,54,0.182505537218516,9.85529900979986,0.221529461790717
"161",-8.65647063705793,-1.81584294800495,-4.44503531704588,"it’s","#FF004BFF",52,39,52,0.162051392382133,8.4266724038709,0.218293950435423
"162",-6.08136655365746,5.86105652195199,5.38702873165377,"wait","#FF004AFF",52,51,56,0.202477391035763,11.3387338980028,0.201381239043001
"163",-2.24082171560237,0.951733419549683,-0.980421284331953,"many","#FF0049FF",52,45,52,0.104379362795961,5.42772686538995,0.248775132010143
"164",-9.71026095689642,1.45732387574182,0.17117311534254,"think","#FF0048FF",53,43,56,0.168930064837885,9.46008363092155,0.156958839332585
"165",-6.1548071184691,2.30726725133217,0.838267961312567,"wasnt","#FF0047FF",53,47,4,0.241626559502015,0.96650623800806,0.0563131015142151
"166",-13.5608648646234,-3.43160474138685,2.24939474987154,"bit","#FF0047FF",54,49,54,0.171769745639757,9.27556626454686,0.245093165735397
"167",-8.55152659887769,0.727871108146902,-2.52687216268776,"critics","#FF0046FF",55,44,56,0.119633972728036,6.69950247277,0.16136833063733
"168",-14.8521561173397,-0.621828429297171,2.50448957844422,"comics","#FF0045FF",55,45,56,0.148995312105733,8.34373747792104,0.170528473745196
"169",-10.1536389914726,6.65669495600963,0.555331213428933,"say","#FF0044FF",55,48,56,0.168662137932352,9.44507972421171,0.219487107054978
"170",-9.83036729576976,1.78339302096615,-2.16939189285505,"alien","#FF0043FF",56,40,57,0.0657172744665929,3.7458846445958,0.173548137039078
"171",-13.9455079242289,-0.3198303848207,-1.36095925808437,"super","#FF0042FF",56,47,59,0.292946064057319,17.2838177793818,0.335887843305103
"172",-7.75620325663669,2.48049493638912,-2.72671278215808,"actually","#FF0041FF",56,47,56,0.130075764148825,7.2842427923342,0.182615369862163
"173",-8.75943240913832,4.92387884138352,3.24071939873923,"reviews","#FF0040FF",57,47,60,0.143914159674083,8.634849580445,0.208308216407284
"174",-11.0338971329656,2.40673129739911,2.29907761658564,"watching","#FF003FFF",57,52,67,0.213178025805982,14.2829277290008,0.289389645684921
"175",-10.6314062396978,0.802508662464578,-2.37240942563222,"symbiote","#FF003EFF",59,35,62,0.0913478084938023,5.66356412661574,0.141352314301783
"176",-10.3190598808178,1.43876435778018,-3.25395040104558,"going","#FF003DFF",60,52,60,0.138672909158218,8.32037454949308,0.191232347441458
"177",-12.8385121396549,-1.66649756342303,-3.76561407180873,"effects","#FF003CFF",61,54,68,0.238308346855146,16.2049675861499,0.274688939958624
"178",-6.09912693829481,1.42736002957596,-3.29315562401229,"first","#FF003BFF",62,58,64,0.0931964679213526,5.96457394696657,0.219310255318103
"179",-4.44924681118673,6.19713083520695,-4.83731155711685,"characters","#FF003AFF",62,49,62,0.103651102664949,6.42636836522681,0.184655376226093
"180",-9.91559440928012,1.67670323727814,0.47848568164139,"make","#FF003AFF",62,53,63,0.097265929449231,6.12775355530155,0.2356283334688
"181",-12.4160790831957,5.97249056347224,-2.51396701321465,"liked","#FF0039FF",64,62,65,0.269157098209571,17.4952113836221,0.21925830496188
"182",-8.72281469502926,1.84536005231885,0.637090987355223,"still","#FF0038FF",65,57,66,0.207733492597344,13.7104105114247,0.249956958491244
"183",-10.7571100755893,-0.717609251181062,-3.59799300708584,"thought","#FF0037FF",65,60,67,0.184518893936597,12.362765893752,0.244163715330338
"184",-5.9984310563247,5.79209254451112,-3.28854609621253,"people","#FF0036FF",66,55,66,0.0883908427117958,5.83379561897852,0.132648912035456
"185",-10.2554525618764,-3.47780983418533,-0.882252680582446,"lot","#FF0035FF",66,59,70,0.152892558067667,10.7024790647367,0.232545234776776
"186",-8.17099490125657,1.23332501417848,3.35229956875742,"worth","#FF0034FF",67,65,67,0.232863426153764,15.6018495523022,0.31774990630458
"187",-10.5044208086625,5.0182368243165,1.1925733709313,"watched","#FF0033FF",68,63,69,0.188403902555054,12.9998692762987,0.233058995874354
"188",-8.92749135982895,-4.17737344421141,1.28026521224393,"best","#FF0032FF",70,64,74,0.171124468512835,12.6632106699498,0.20594781795421
"189",-12.1130776904429,-5.02879908401164,-4.19650369210692,"fan","#FF0031FF",71,65,75,0.164854754448967,12.3641065836725,0.226755381423933
"190",-8.4715137387329,7.69682556412768,0.1010078929529,"cant","#FF0030FF",71,68,13,0.15869682291861,2.06305869794192,0.216638192344476
"191",-12.6283629689813,-1.32648135052107,-1.00081252351869,"humor","#FF002FFF",71,67,76,0.290443136053516,22.0736783400672,0.281686495692162
"192",-10.3949641192449,1.40019289202717,-2.93103144186602,"way","#FF002EFF",71,66,76,0.0686782955307347,5.21955046033584,0.227474274035541
"193",-8.81166380711037,8.79721935919679,0.518605008797927,"can","#FF002DFF",71,66,72,0.0866315662776398,6.23747277199007,0.198122393231223
"194",-7.88697004743325,0.97870696627728,2.40675010562985,"im","#FF002DFF",72,55,7,0.167063833223639,1.16944683256547,0.19080873666138
"195",-12.6261868820905,-0.955684580337504,-2.70640783850213,"acting","#FF002CFF",73,67,79,0.128045893586237,10.1156255933127,0.290608499994156
"196",-12.1915731990973,-0.372830483612419,0.207490561191697,"entertaining","#FF002BFF",74,72,101,0.366538319986139,37.0203703186001,0.302100084911121
"197",-10.3837874859075,4.55115183618148,1.25767199375417,"get","#FF002AFF",76,67,77,0.0847646196082414,6.52687570983459,0.187826448018383
"198",-11.9625483387676,-0.841004861952446,-1.8669512611389,"plot","#FF0029FF",78,71,83,0.089120272279765,7.39698259922049,0.240987301586822
"199",-13.5017474922724,-3.33481856428225,2.0906469020619,"little","#FF0028FF",79,68,79,0.134773151342057,10.6470789560225,0.23179536164685
"200",-7.84785691858633,3.18529548150539,-0.801188153287048,"made","#FF0027FF",79,70,79,0.114084429037365,9.01266989395187,0.225549837508375
"201",-10.3512173377245,1.59074625368669,-2.42387786814036,"spiderman","#FF0026FF",83,60,36,0.0998706572422207,3.59534366071994,0.151703852604881
"202",-13.8455637261655,6.2222014003786,1.98273489882581,"know","#FF0025FF",83,75,84,0.121698421105716,10.2226673728802,0.201099996521663
"203",-10.8564223893193,-1.06239850474465,-3.58270035796461,"pretty","#FF0024FF",89,57,89,0.252301944770623,22.4548730845855,0.259885705062661
"204",-10.1750195369214,4.08480194013263,-1.74031248904619,"didnt","#FF0023FF",92,82,7,-0.0198139055137023,-0.138697338595916,0.213125541099388
"205",-10.0566932911575,5.96840502741352,-3.53246571633721,"even","#FF0022FF",93,77,94,0.092743178871065,8.71785881388011,0.202218938729665
"206",-11.5410199550097,1.26676543447375,-5.24286099741694,"comic","#FF0021FF",96,76,100,0.15727925468579,15.727925468579,0.242249238926201
"207",-11.8849606068659,3.70321168859197,0.732336354660375,"see","#FF0020FF",98,83,103,0.134620058527505,13.865866028333,0.188674779999822
"208",-11.2089277083422,2.14952001254562,-1.95923271624533,"well","#FF0020FF",98,90,105,0.24825977891158,26.0672767857159,0.348559920056175
"209",-9.2996930471313,4.58935207651721,-1.27402921276798,"will","#FF001FFF",99,84,99,0.121221037591027,12.0008827215117,0.21001558511557
"210",-14.7731578602948,1.8210437682244,-0.17869771499086,"awesome","#FF001EFF",103,96,127,0.377378358285646,47.927051502277,0.233001855413309
"211",-10.3404935653456,3.36193238182244,-1.59191298480635,"dont","#FF001DFF",107,94,10,0.0770669542887928,0.770669542887928,0.205785510717717
"212",-10.8597003842081,-0.137087189432456,-1.66715735095272,"brock","#FF001CFF",108,59,121,0.132314891122131,16.0101018257778,0.180131536948809
"213",-12.5332577090924,5.90156410208476,-2.55749067053275,"enjoyed","#FF001BFF",112,111,116,0.420819057204564,48.8150106357295,0.269506105786356
"214",-11.635341352213,0.21154270706909,1.30887972768552,"funny","#FF001AFF",113,113,129,0.45344251491291,58.4940844237654,0.2876372076903
"215",-11.8093212010664,1.23150151030618,-2.47918651036653,"much","#FF0019FF",125,107,129,0.203098833018088,26.1997494593334,0.248766900498466
"216",-11.4872405993229,2.08842790333655,-3.9407570291263,"time","#FF0018FF",129,102,144,0.132290680794755,19.0498580344447,0.228256745562466
"217",-14.8354732121008,-1.09553457095183,2.19863012962077,"better","#FF0017FF",131,123,145,0.231791776274233,33.6098075597637,0.262144974668398
"218",-4.25832437589002,5.04880154663958,-4.07768423178386,"movies","#FF0016FF",132,106,143,0.162741090223519,23.2719759019633,0.217882391332134
"220",-11.4223105857759,0.300723395727014,-1.52294132975405,"character","#FF0014FF",151,111,153,0.121825654860407,18.6393251936423,0.217751247099169
"221",-12.3325172726991,0.139117901984196,0.461536820300732,"fun","#FF0013FF",155,133,168,0.311535975317952,52.3380438534159,0.285659718057512
"222",-11.9029676531097,0.661699734325086,-1.15595973488004,"bad","#FF0013FF",159,116,174,-0.00427941510042913,-0.744618227474669,0.259210156387017
"223",-13.3607224908269,4.7599168585048,-2.46086007043333,"loved","#FF0012FF",162,151,166,0.290573578455338,48.2352140235861,0.170207546577518
"224",-10.881935012097,2.69194942323587,1.01543365566662,"watch","#FF0011FF",166,149,189,0.178263836148884,33.6918650321391,0.218821796912998
"225",-11.8602330254066,-0.74022552472893,-1.49713053830364,"story","#FF0010FF",167,133,178,0.183420417474518,32.6488343104642,0.253298649130692
"226",-10.2375737530867,1.76986862154128,-2.03283410838738,"film","#FF000FFF",176,105,190,0.122463002024097,23.2679703845784,0.211948198766033
"227",-10.2840272997465,3.58917852623838,-4.91279031692685,"one","#FF000EFF",178,131,197,0.141193508315741,27.815121138201,0.234917538998084
"228",-10.9142618759046,-0.167631866342494,-1.71212975888672,"eddie","#FF000DFF",179,103,181,0.152853939049777,27.6665629680096,0.173950702445411
"229",-10.7468287355993,1.80144298340559,-3.98705393980467,"marvel","#FF000CFF",183,154,192,0.164937496337646,31.667999296828,0.21212553620771
"230",-13.4583768874662,4.66697852686561,-2.47213565405837,"love","#FF000BFF",184,166,188,0.309863590454162,58.2543550053825,0.268100381727598
"231",-12.7624790306982,-1.22465485478605,-0.877282666404327,"action","#FF000AFF",187,178,213,0.320137949082031,68.1893831544727,0.260054599035837
"232",-9.95380180282659,2.1834959122201,-0.414723546727455,"really","#FF0009FF",199,160,200,0.255094268002393,51.0188536004785,0.380266170776809
"233",-10.3944819840393,2.60272980819568,-1.37239759407849,"just","#FF0008FF",246,194,248,0.0785783907900155,19.4874409159238,0.21114070307906
"234",-13.5765068945478,2.30730037614306,-2.13018542001204,"hardy","#FF0007FF",276,243,290,0.220151680286192,63.8439872829956,0.262833780242024
"235",-11.8935452752171,2.89848634245043,0.141182419075609,"like","#FF0006FF",280,202,285,0.112532582022029,32.0717858762782,0.210543899441397
"236",-13.4479015516831,2.38696818931575,-2.09310323519498,"tom","#FF0006FF",281,250,285,0.231799104986022,66.0627449210163,0.258412482215675
"238",-12.2710974508338,0.566314317530816,-0.681983251252419,"good","#FF0004FF",461,377,500,0.374070764550766,187.035382275383,0.342083425877784
"239",-12.5359446795504,0.740196152866782,-0.637587236263481,"great","#FF0003FF",462,414,490,0.325092478700388,159.29531456319,0.276024578529958
"240",-10.6434061528316,1.68297204412125,-1.47372706383055,"venom","#FF0002FF",582,322,640,0.151165969428239,96.7462204340728,0.202545631290522
"241",-10.7362776150148,2.05574700389052,-1.43803195349619,"movie","#FF0001FF",1140,778,1535,0.243989460396955,374.523821709326,0.274747724331658
